,coverage,coverage,coverage,coverage,coverage,coverage,completness,completness,completness,completness,completness,completness,correctness,correctness,correctness,correctness,correctness,correctness,clarity,clarity,clarity,clarity,clarity,clarity,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,grammar_score,grammar_score,grammar_score,grammar_score,grammar_score,grammar_score
,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-r1:1.5B,0.22,0.14,0.21,0.02,0.98,118,0.19,0.13,0.18,0.02,0.94,118,0.46,0.34,0.29,0.09,0.99,118,0.85,0.96,0.25,0.05,0.99,118,0.17,0.1,0.17,0.01,0.92,118,0.97,0.98,0.04,0.7,1.0,118
deepseek-r1:7B,0.51,0.56,0.31,0.03,0.99,87,0.44,0.41,0.29,0.03,0.99,87,0.69,0.84,0.31,0.11,0.99,87,0.87,0.94,0.21,0.1,0.99,87,0.29,0.19,0.27,0.01,0.97,87,0.93,0.95,0.06,0.57,1.0,87
gemma-2-9B,0.45,0.38,0.27,0.03,0.97,106,0.37,0.33,0.23,0.03,0.95,106,0.75,0.86,0.26,0.08,0.99,106,0.84,0.88,0.16,0.03,0.98,106,0.37,0.27,0.3,0.01,0.99,106,0.98,0.99,0.03,0.79,1.0,106
gemma-2-9B(IT),0.65,0.73,0.29,0.1,0.99,119,0.58,0.62,0.28,0.09,0.99,119,0.94,0.97,0.11,0.16,0.99,119,0.88,0.91,0.13,0.19,0.98,119,0.33,0.26,0.24,0.01,0.94,119,0.95,0.95,0.03,0.86,1.0,119
llama-3.2-3B,0.31,0.2,0.29,0.03,0.98,119,0.27,0.2,0.25,0.03,0.97,119,0.59,0.65,0.31,0.1,0.98,119,0.65,0.75,0.32,0.02,1.0,119,0.42,0.42,0.26,0.03,0.99,119,0.95,0.98,0.11,0.03,1.0,119
llama-3.2-3B(IT),0.59,0.64,0.28,0.04,0.99,119,0.5,0.49,0.25,0.04,0.99,119,0.89,0.96,0.17,0.07,0.99,119,0.86,0.95,0.21,0.07,0.99,119,0.37,0.34,0.26,0.02,0.93,119,0.9,0.94,0.12,0.32,1.0,119
